RIVER,HABITAT,SITE,Achnanthidium_pyreniacum,Gomphonema_rhombicum,Nitzschia_amphibia,Cocconeis_placentula,Melosira_varians,Rhiocosphenia_curvata,Nitzschia_fonticola,Gomphonema_kobayasii,Nitzschia_frustulum,Navicula_cryptotenella,Cymbella_turgidula,Achnanthidium_minutissimum,Nitzschia_oregona,Synedra_ulna,Nitzschia_inconspicua,Nitzschia_palea,Nitzschia_needle_like,Planothidium_lanceolatum,Navicula_lanceolata,Gomphonema_minutum,Gomphonema_clavatum,Fragilaria_construens,Reimeria_sinuata,Gomphoneis,Nitzschia_perminuta,Encyonema_silesiacum,Fragilaria_capusina,Achnanthidium_subhudsonis_kraeuselii,Nitzschia_recta,Navicula_recens,Navicula_cryptocephala,Cymbella_mexicana,Nitzschia_dissipata,Cymbella_cistula,Gomphonema_parvulum,Sellaphora_atomoides,Diatoma_vulgaris,Navicula_veneta,Cyclotella_small_flat,Amphora_inariensis
EC,FAST,1,0.8,0.01,0,0.0385,0,0,0.04,0,0.01,0.005,0.056,0.00,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0
EC,FAST,2,0.34,0.385,0,0.025,0,0.035,0.01,0,0.01,0,0.025,0.03,0.015,0.015,0,0,0,0,0,0,0.01,0,0,0,0,0.005,0,0,0.054,0.01,0.01,0.005,0,0.01,0,0,0,0.006,0,0
EC,FAST,3,0.4,0.41,0,0.01,0.001666667,0.02,0.006666667,0,0.02,0.006666667,0.01,0.0155,0.02,0.01,0,0,0,0,0,0.003333333,0.006666667,0,0.003333333,0.01,0,0,0,0,0.001666667,0.02,0.015,0.008,0,0,0.003333333,0,0,0.003333333,0,0
EC,FAST,4,0.8,0.01,0,0.025,0,0,0.035,0,0.02,0,0.05,0,0,0,0,0,0,0.005,0,0,0.025,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,FAST,5,0.751666667,0.013333333,0,0.05,0.008333333,0,0.03,0,0.013333333,0.008333333,0.06,0.003333333,0.006666667,0.003333333,0,0,0,0,0,0.003333333,0.023333333,0,0,0.02,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
EC,SLOW,6,0.478333333,0.336666667,0,0.035,0,0.026666667,0.003333333,0,0.01,0.005,0.011666667,0.013,0.003333333,0.003333333,0,0,0,0.011666667,0,0.006666667,0.008333333,0,0,0,0.003333333,0,0,0.003333333,0,0.001666667,0,0.008333333,0,0,0,0,0,0,0,0
EC,SLOW,7,0.56,0.25,0,0.035,0,0.025,0.01,0,0.015,0.01,0.0125,0.0225,0.015,0,0,0,0,0,0,0.01,0,0,0,0.02,0.01,0,0,0,0,0.005,0,0.00075,0,0,0,0,0,0,0,0
EC,SLOW,8,0.481666667,0.385,0,0.025,0,0.008333333,0.003333333,0.003333333,0.01,0.005,0.013333333,0.008333333,0.011666667,0,0,0,0,0,0,0,0.006666667,0,0,0.018333333,0,0.003333333,0,0,0,0.008333333,0,0.008333333,0,0,0,0,0,0,0,0
EC,SLOW,9,0.681666667,0.095,0,0.041666667,0,0.006666667,0,0.013333333,0.013333333,0.001666667,0.011666667,0.056666667,0,0,0,0,0,0,0,0.023333333,0.005,0,0.005,0.005,0.005,0,0,0.005,0,0,0.001666667,0.005,0,0.018333333,0,0,0,0.005,0,0
EC,SLOW,10,0.761666667,0.166666667,0,0.01,0,0,0.003333333,0,0.01,0,0.01,0.01,0,0,0,0,0,0.003333333,0,0.01,0.003333333,0,0,0.005,0,0,0,0,0,0.001666667,0,0,0,0.003333333,0,0,0,0,0,0.001666667
JC,FAST,11,0,0.1,0.09,0.18,0.058333333,0.07,0.075,0.085,0.035,0.036666667,0.006666667,0.01,0.045,0.035,0.02,0.02,0.02,0.01,0.01,0,0,0.01,0,0,0.003333333,0.021666667,0.026666667,0,0,0,0.003333333,0,0.01,0,0.016666667,0,0,0,0,0
JC,FAST,12,0.015,0.296666667,0.096666667,0.146666667,0.016666667,0.04,0.066666667,0.04,0.016666667,0.041666667,0,0.01,0.01,0.005,0.01,0.05,0.033333333,0,0.005,0.016666667,0,0.013333333,0.016666667,0,0.025,0.02,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
JC,FAST,13,0.01,0.176666667,0.073333333,0.183333333,0.053333333,0.066666667,0.025,0.091666667,0.04,0.066666667,0,0.013333333,0.02,0.03,0.016666667,0.033333333,0.02,0,0.003333333,0.013333333,0,0.001666667,0.023333333,0,0.016666667,0.001666667,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
JC,FAST,14,0.005,0.171666667,0.053333333,0.2,0.033333333,0.063333333,0.075,0.075,0.036666667,0.056666667,0,0.006666667,0.02,0.033333333,0.02,0.033333333,0.025,0,0.001666667,0.016666667,0,0.016666667,0.016666667,0,0.02,0.006666667,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0
JC,FAST,15,0,0.165,0.046666667,0.266666667,0.028333333,0.033333333,0.05,0.05,0.03,0.05,0,0.003333333,0.03,0.04,0.026666667,0.025,0.02,0,0.003333333,0.016666667,0,0.033333333,0.025,0,0.016666667,0.013333333,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0
JC,SLOW,16,0.005,0.173333333,0.306666667,0.033333333,0.186666667,0.066666667,0.011666667,0.023333333,0.013333333,0.026666667,0,0.02,0.013333333,0,0.02,0.008333333,0.003333333,0.013333333,0.02,0,0,0.023333333,0.003333333,0,0.003333333,0.006666667,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0.001666667
JC,SLOW,17,0.003333333,0.2,0.266666667,0.053333333,0.105,0.083333333,0.01,0.013333333,0.023333333,0.003333333,0,0.013333333,0.003333333,0.003333333,0.033333333,0.013333333,0.016666667,0.033333333,0.016666667,0.006666667,0,0.02,0.006666667,0,0,0.006666667,0,0.045,0,0,0,0,0.006666667,0,0,0.006666667,0.006666667,0,0,0
JC,SLOW,18,0.003333333,0.166666667,0.3,0.025,0.216666667,0.075,0.01,0.016666667,0.02,0,0.001666667,0.016666667,0.003333333,0.033333333,0.016666667,0.006666667,0.003333333,0.016666667,0.023333333,0,0,0,0.006666667,0,0,0.006666667,0,0,0,0,0,0,0,0,0.003333333,0.006666667,0.006666667,0,0.005,0
JC,SLOW,19,0,0.13,0.306666667,0.041666667,0.191666667,0.06,0.041666667,0.01,0.02,0,0,0.01,0.02,0.003333333,0.03,0.005,0.033333333,0.03,0.03,0.003333333,0,0.003333333,0.003333333,0,0,0,0.003333333,0,0,0,0.005,0,0.003333333,0.003333333,0,0.006666667,0,0,0,0.001666667
JC,SLOW,20,0.016666667,0.141666667,0.35,0.033333333,0.183333333,0.066666667,0.066666667,0,0.016666667,0.003333333,0,0.003333333,0.003333333,0.003333333,0.018333333,0.006666667,0.005,0.01,0.016666667,0,0,0,0.01,0,0,0.003333333,0.003333333,0.01,0,0,0,0,0.016666667,0,0,0.003333333,0.003333333,0,0.005,0
