sample,g__Achnanthidum,g__Amphora,g__Bacillaria,g__Cocconeis,g__Cyclotella,g__Cymatopleura,g__Cymbella,g__Diatoma,g__Encyonema,g__Fragilaria,g__Gomphoneis,g__Gomphonema,g__Halamphora,g__Hippodonta,g__Melosira,g__Navicula,g__Nitzschia,g__Planothidium,g__Reimeria,g__Rhoicosphenia,g__Sellophora,g__Staurosira,g__Ulnaria
1,0.8,0,0,0.0385,0,0,0.0562,0,0,0,0,0.05,0,0,0,0.0054,0.05,0,0,0,0,0,0
2,0.37,0,0,0.025,0,0,0.04,0,0.005,0,0,0.395,0,0,0,0.026,0.089,0,0,0.035,0,0,0.015
3,0.4155,0,0,0.01,0,0,0.018,0,0,0,0.01,0.426666667,0,0,0.001666667,0.045,0.048333333,0,0.003333333,0.02,0,0,0.01
4,0.8,0,0,0.025,0,0,0.05,0,0,0,0.03,0.035,0,0,0,0,0.055,0.005,0,0,0,0,0
5,0.755,0,0,0.05,0,0,0.065,0,0,0,0.02,0.04,0,0,0.008333333,0.008333333,0.05,0,0,0,0,0,0.003333333
6,0.52,0,0,0.035,0,0,0.02,0,0,0,0,0.351666667,0,0,0,0.006666667,0.02,0.011666667,0,0.026666667,0,0,0.003333333
7,0.5825,0,0,0.035,0,0,0.01325,0,0,0,0.02,0.26,0,0,0,0.015,0.05,0,0,0.025,0,0,0
8,0.49,0,0,0.025,0,0,0.021666667,0,0.003333333,0,0.018333333,0.395,0,0,0,0.013333333,0.025,0,0,0.008333333,0,0,0
9,0.743333333,0,0,0.041666667,0,0,0.035,0,0,0,0.005,0.136666667,0,0,0,0.008333333,0.018333333,0,0.005,0.006666667,0,0,0
10,0.771666667,0.001666667,0,0.01,0,0,0.013333333,0,0,0,0.005,0.18,0,0,0,0.001666667,0.013333333,0.003333333,0,0,0,0,0
11,0.01,0,0,0.18,0,0,0.006666667,0,0.021666667,0.026666667,0,0.201666667,0,0,0.058333333,0.05,0.318333333,0.01,0,0.07,0,0.01,0.035
12,0.025,0,0,0.146666667,0,0,0,0.005,0.02,0,0,0.356666667,0,0,0.016666667,0.046666667,0.308333333,0,0.016666667,0.04,0,0.013333333,0.005
13,0.023333333,0,0,0.183333333,0,0,0,0,0.001666667,0.02,0,0.281666667,0,0,0.053333333,0.07,0.245,0,0.023333333,0.066666667,0,0.001666667,0.03
14,0.011666667,0,0,0.2,0,0,0,0,0.006666667,0.013333333,0,0.263333333,0,0,0.033333333,0.058333333,0.283333333,0,0.016666667,0.063333333,0,0.016666667,0.033333333
15,0.003333333,0,0,0.266666667,0,0,0,0,0.013333333,0.026666667,0,0.231666667,0,0,0.028333333,0.053333333,0.245,0,0.025,0.033333333,0,0.033333333,0.04
16,0.025,0.001666667,0,0.033333333,0,0.003333333,0,0,0.006666667,0,0,0.196666667,0,0.003333333,0.186666667,0.056666667,0.38,0.013333333,0.003333333,0.066666667,0,0.023333333,0
17,0.061666667,0,0,0.053333333,0,0,0,0.006666667,0.006666667,0,0,0.22,0,0,0.105,0.02,0.373333333,0.033333333,0.006666667,0.083333333,0.006666667,0.02,0.003333333
18,0.02,0,0.003333333,0.025,0.005,0,0.001666667,0.006666667,0.006666667,0,0,0.186666667,0,0,0.216666667,0.026666667,0.363333333,0.016666667,0.006666667,0.075,0.006666667,0,0.033333333
19,0.01,0.001666667,0,0.041666667,0,0,0.003333333,0,0,0.003333333,0,0.143333333,0.003333333,0,0.191666667,0.035,0.46,0.03,0.003333333,0.06,0.006666667,0.003333333,0.003333333
20,0.03,0,0,0.033333333,0.005,0,0,0.003333333,0.003333333,0.003333333,0,0.141666667,0,0,0.183333333,0.02,0.483333333,0.01,0.01,0.066666667,0.003333333,0,0.003333333
