index,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Nitzschia,k__Chromista;p__Bacillariophyta;o__Cymbellales;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Gomphonema,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;__,k__Chromista;p__Bacillariophyta;__;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Rhoicospheniaceae;g__Rhoicosphenia,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;g__Encyonema,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Anomoeoneidaceae;g__Adlafia,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;g__Navicula,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;g__Amphora,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Mayamaea,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Sellaphora,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Achnanthidium,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Fragilaria,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Staurosira,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Reimeria,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Fistulifera,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Gomphoneis,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Planothidium,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;__,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Ulnaria,k__Chromista;p__Bacillariophyta;o__Paraliales;f__Radialiplicataceae;g__Ellerbeckia,k__Chromista;p__Bacillariophyta;o__Melosirales;f__Melosiraceae;g__Melosira,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Psammothidium,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;g__Pinnularia,Unassigned;__;__;__;__,k__Chromista;__;__;__;__,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Tryblionella,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;g__Cymbella,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;__,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;g__Surirella,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Diatoma,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;g__Iconella,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;g__Cyclotella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;g__Craticula,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Bacillaria,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pleurosigmataceae;g__Gyrosigma,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;g__Caloneis,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;g__Halamphora,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Fallacia,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Entomoneidaceae;g__Entomoneis,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Gedaniella,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Skeletonemataceae;g__Discostella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Neidiaceae;g__Neidium,k__Chromista;p__Bacillariophyta;o__Achnanthales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Berkeleyaceae;g__Parlibellus,k__Chromista;p__Bacillariophyta;o__Aulacoseirales;f__Aulacoseiraceae;g__Aulacoseira,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;g__Stauroneis,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Asterionella,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Stauroforma,k__Chromista;p__Bacillariophyta;o__Surirellales;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Anomoeoneidaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Diploneidaceae;g__Diploneis,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;g__Geissleria,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;g__Cyclostephanos,k__Chromista;p__Bacillariophyta;o__Melosirales;__;__,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Hantzschia,k__Chromista;p__Bacillariophyta;o__Eunotiales;f__Eunotiaceae;g__Eunotia,k__Chromista;p__Bacillariophyta;o__Tabellariales;f__Tabellariaceae;g__Meridion
sample-02,10182.0,968.0,27811.0,7242.0,43708.0,15.0,352.0,265.0,85.0,26.0,71.0,34.0,14.0,18.0,64.0,8.0,27.0,29.0,11.0,17.0,22.0,15.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,115.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-03,11227.0,568.0,2570.0,8871.0,32595.0,1891.0,165.0,24.0,38.0,15.0,427.0,12.0,63.0,120.0,31.0,296.0,151.0,26.0,32.0,110.0,52.0,65.0,827.0,0.0,655.0,0.0,15.0,30.0,4.0,29.0,22.0,41.0,997.0,1020.0,84.0,74.0,162.0,27.0,97.0,13.0,35.0,15.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-08,39721.0,67.0,404.0,216.0,49982.0,1.0,35.0,4885.0,399.0,5.0,15.0,123.0,0.0,6.0,39.0,1.0,282.0,1.0,0.0,1477.0,9.0,10.0,740.0,0.0,37.0,7.0,0.0,0.0,3.0,69.0,7.0,0.0,427.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-14,3966.0,1165.0,28998.0,4082.0,38944.0,131.0,479.0,516.0,207.0,54.0,206.0,43.0,3.0,7.0,156.0,4.0,6.0,18.0,4.0,435.0,35.0,10.0,4.0,4.0,2.0,0.0,4.0,9.0,0.0,51.0,5.0,0.0,227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-15,2141.0,192.0,2715.0,1802.0,20207.0,404.0,70.0,122.0,14.0,3.0,98.0,14.0,26.0,21.0,10.0,136.0,374.0,952.0,32.0,23.0,157.0,15.0,162.0,0.0,10.0,0.0,2.0,6.0,1.0,15.0,2.0,0.0,8.0,221.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-20,42456.0,85.0,410.0,235.0,50229.0,1.0,45.0,5243.0,468.0,5.0,12.0,141.0,0.0,8.0,58.0,5.0,321.0,0.0,0.0,1570.0,4.0,22.0,818.0,0.0,29.0,11.0,0.0,3.0,2.0,70.0,5.0,0.0,465.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-26,1205.0,1627.0,38795.0,6059.0,50556.0,361.0,454.0,960.0,278.0,79.0,274.0,18.0,12.0,8.0,165.0,19.0,4.0,31.0,6.0,284.0,31.0,4.0,4.0,3.0,1.0,0.0,11.0,6.0,0.0,51.0,13.0,0.0,922.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-27,23031.0,593.0,18655.0,19483.0,92132.0,6590.0,358.0,1760.0,284.0,4.0,853.0,45.0,572.0,400.0,70.0,624.0,6259.0,632.0,303.0,130.0,323.0,25.0,1936.0,0.0,30.0,6.0,15.0,30.0,7.0,97.0,18.0,34.0,205.0,1984.0,46.0,3.0,82.0,3.0,5.0,16.0,0.0,0.0,3.0,0.0,1.0,35.0,8.0,0.0,2.0,0.0,298.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-31,39828.0,134.0,4786.0,1737.0,48411.0,6.0,327.0,2175.0,137.0,1.0,2026.0,11.0,3.0,2.0,45.0,11.0,0.0,13.0,12.0,172.0,2.0,1.0,150.0,0.0,0.0,2.0,10.0,3.0,0.0,88.0,5.0,0.0,115.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-33,10970.0,848.0,1536.0,4897.0,24702.0,775.0,109.0,9.0,16.0,28.0,228.0,7.0,39.0,72.0,19.0,184.0,150.0,16.0,31.0,80.0,27.0,86.0,220.0,0.0,73.0,0.0,8.0,19.0,7.0,26.0,10.0,32.0,1828.0,379.0,77.0,53.0,165.0,66.0,31.0,10.0,15.0,6.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
