index,k__Chromista;p__Bacillariophyta;o__Naviculales;__;__,k__Chromista;p__Bacillariophyta;__;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Sellaphora,k__Plantae;p__Chlorophyta;o__Chlorococcales;f__Scenedesmaceae;g__Scenedesmus,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;__,k__Chromista;p__Bacillariophyta;o__Achnanthales;__;__,Unassigned;__;__;__;__,k__Plantae;p__Chlorophyta;__;__;__,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Nitzschia,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Gomphonema,k__Plantae;p__Chlorophyta;o__Chlorellales;f__Chlorellaceae;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;__;__,k__Plantae;p__Chlorophyta;o__Oocystales;f__Oocystaceae;g__Mychonastes,k__Plantae;p__Chlorophyta;o__Chlorellales;f__Chlorellaceae;g__Chlorella,k__Plantae;p__Chlorophyta;o__Chlorellales;f__Chlorellaceae;g__Monoraphidium,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Ulnaria,k__Chromista;__;__;__;__,k__Chromista;p__Bacillariophyta;o__Melosirales;f__Melosiraceae;g__Melosira,k__Plantae;p__Chlorophyta;o__Chlorococcales;__;__,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;g__Amphora,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Gomphoneis,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Cocconeidaceae;g__Cocconeis,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;__,k__Plantae;p__Chlorophyta;o__Volvocales;__;__,k__Plantae;p__Chlorophyta;o__Oocystales;f__Oocystaceae;g__Muriella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;g__Navicula,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;g__Cymbella,k__Plantae;p__Chlorophyta;o__Oocystales;f__Oocystaceae;__,k__Plantae;p__Chlorophyta;o__Chlorellales;f__Chlorellaceae;g__Scotiellopsis,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;__,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;__,k__Plantae;p__Chlorophyta;o__Chlorellales;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;g__Encyonema,k__Plantae;p__Chlorophyta;o__Volvocales;f__Chlamydomonadaceae;g__Chlamydomonas,k__Chromista;p__Bacillariophyta;o__Paraliales;f__Radialiplicataceae;g__Ellerbeckia,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;__,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Synedra,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Rhoicospheniaceae;g__Rhoicosphenia,k__Chromista;p__Bacillariophyta;o__Aulacoseirales;f__Aulacoseiraceae;g__Aulacoseira,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Fistulifera,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Staurosira,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Fragilaria,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Staurosirella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Mayamaea,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;g__Cyclotella,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;g__Surirella,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Achnanthidium,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;__;__,k__Chromista;p__Bacillariophyta;o__Melosirales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;g__Hippodonta,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Reimeria,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;__,k__Chromista;p__Bacillariophyta;o__Surirellales;__;__,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Planothidium,k__Plantae;p__Chlorophyta;o__Volvocales;f__Volvocaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;g__Halamphora,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;g__Pinnularia,k__Chromista;p__Ochrophyta;o__Synurales;f__Mallomonadaceae;g__Synura,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;g__Craticula,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;g__Iconella,k__Plantae;p__Chlorophyta;o__Chlorellales;f__Chlorellaceae;g__Parachlorella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Phaeodactylaceae;g__Phaeodactylum,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Lemnicola,k__Chromista;p__Bacillariophyta;o__Paraliales;__;__
sample-04,1175.0,70983.0,12142.0,11218.0,72.0,220.0,2034.0,5585.0,2372.0,1166.0,203.0,18.0,102.0,512.0,71.0,95.0,56.0,131.0,62.0,90.0,29.0,388.0,26.0,107.0,2.0,102.0,4.0,39.0,60.0,23.0,2.0,30.0,3.0,25.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-05,41.0,6865.0,16272.0,134.0,1.0,4.0,180.0,236.0,1175.0,956.0,25577.0,0.0,424.0,2.0,29.0,2.0,66.0,7.0,119.0,1.0,1.0,2.0,28.0,223.0,0.0,2.0,42.0,2.0,0.0,4.0,25.0,164.0,1.0,23.0,0.0,0.0,1.0,184.0,2.0,0.0,50.0,0.0,17.0,1.0,28.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-06,6.0,3427.0,4016.0,107.0,1.0,0.0,95.0,120.0,848.0,169.0,2187.0,0.0,375.0,1.0,6.0,2.0,36.0,2.0,4201.0,1.0,0.0,2.0,15.0,141.0,12.0,0.0,25.0,443.0,0.0,0.0,10.0,31.0,0.0,6.0,0.0,0.0,1.0,12.0,14.0,0.0,64.0,0.0,3.0,0.0,2.0,0.0,9.0,78.0,5.0,1.0,13.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-07,66.0,4688.0,1680.0,3034.0,5.0,70.0,278.0,1538.0,154.0,123.0,26.0,2.0,9.0,66.0,17.0,15.0,7.0,29.0,27.0,8.0,0.0,56.0,3.0,3.0,1.0,31.0,2.0,9.0,9.0,31.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-16,173.0,15988.0,8293.0,11814.0,16.0,96.0,2030.0,6683.0,925.0,663.0,4199.0,8.0,187.0,774.0,76.0,71.0,3.0,130.0,187.0,64.0,10.0,9.0,10.0,46.0,3.0,101.0,2.0,0.0,105.0,101.0,0.0,2.0,3.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-17,67.0,6770.0,3457.0,168.0,3.0,13.0,164.0,221.0,1033.0,424.0,4759.0,1.0,288.0,4.0,6.0,8.0,341.0,4.0,2195.0,0.0,0.0,12.0,184.0,155.0,1.0,1.0,211.0,14.0,0.0,1.0,75.0,281.0,1.0,128.0,2.0,0.0,0.0,16.0,13.0,0.0,27.0,0.0,99.0,0.0,167.0,0.0,8.0,10.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-18,10.0,2341.0,1791.0,116.0,2.0,0.0,113.0,158.0,437.0,47.0,423.0,0.0,66.0,3.0,1.0,0.0,20.0,2.0,5993.0,1.0,0.0,0.0,1.0,94.0,9.0,1.0,42.0,52.0,0.0,1.0,7.0,27.0,4.0,2.0,1.0,0.0,0.0,5.0,7.0,1.0,11.0,0.0,3.0,0.0,3.0,0.0,3.0,40.0,4.0,1.0,19.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-19,87.0,7655.0,2647.0,4989.0,4.0,97.0,407.0,2419.0,239.0,175.0,48.0,0.0,13.0,115.0,28.0,14.0,12.0,40.0,46.0,19.0,0.0,78.0,4.0,11.0,1.0,62.0,3.0,20.0,16.0,65.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-28,11.0,2350.0,5151.0,10182.0,1.0,7.0,685.0,4229.0,96.0,134.0,438.0,3.0,25.0,684.0,82.0,60.0,5.0,64.0,59.0,28.0,2.0,7.0,1.0,7.0,22.0,60.0,2.0,3.0,61.0,33.0,1.0,5.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-29,322.0,13977.0,4412.0,2088.0,13.0,34.0,799.0,1614.0,124.0,234.0,951.0,0.0,57.0,122.0,13.0,6.0,0.0,48.0,12.0,15.0,5.0,9.0,27.0,4.0,4.0,22.0,12.0,11.0,9.0,11.0,7.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
